=== HITTERS ===
Name,Pos,PA,AB,H,2B,3B,HR,RBI,BB,K,HBP,SF,SB,AVG,OBP,SLG,OPS,wOBA,K%,BB%
James Aselta,P,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timmy Domizio,UTIL,15,14,2,1,0,0,0,0,9,1,0,4,0.14285714285714285,0.2,0.21428571428571427,0.41428571428571426,0.18980000000000002,0.6,0.0
Henry Silvia,UTIL,5,4,2,0,0,0,1,1,0,0,0,1,0.5,0.6,0.5,1.1,0.49000000000000005,0.0,0.2
Jack Farnen,OF,13,9,2,1,0,0,2,4,4,0,0,1,0.2222222222222222,0.46153846153846156,0.3333333333333333,0.7948717948717949,0.3759230769230769,0.3076923076923077,0.3076923076923077
Oliver Merced,1B,11,8,1,1,0,0,3,2,3,1,0,0,0.125,0.36363636363636365,0.25,0.6136363636363636,0.30427272727272725,0.2727272727272727,0.18181818181818182
Stephen Polizzi,C,14,12,3,1,0,0,3,1,3,1,0,5,0.25,0.35714285714285715,0.3333333333333333,0.6904761904761905,0.3155,0.21428571428571427,0.07142857142857142
Nick Carlucci,OF,17,14,4,0,1,2,2,2,4,1,0,3,0.2857142857142857,0.4117647058823529,0.8571428571428571,1.26890756302521,0.5070588235294118,0.23529411764705882,0.11764705882352941
Nevin Belanger,P,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommy Farrell,P,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colin Donofrio,P,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Keating,P,8,6,0,0,0,0,1,0,1,1,1,0,0.0,0.125,0.0,0.125,0.09,0.125,0.0
Liam DaSilva,C/1B,4,4,2,0,0,0,1,0,1,0,0,0,0.5,0.5,0.5,1.0,0.44,0.25,0.0
Brett Davino,UTIL,8,5,2,0,0,0,0,2,1,1,0,4,0.4,0.625,0.4,1.025,0.48249999999999993,0.125,0.25
Nick Dorso,UTIL,14,12,5,1,0,0,6,2,2,0,0,2,0.4166666666666667,0.5,0.5,1.0,0.4390714285714286,0.14285714285714285,0.14285714285714285
Brandon Skerritt,C,4,3,2,1,0,0,0,1,0,0,0,1,0.6666666666666666,0.75,1.0,1.75,0.70425,0.0,0.25
Nick Petta,P,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Strand,C,10,8,1,0,0,0,1,2,2,0,0,2,0.125,0.3,0.125,0.425,0.22599999999999998,0.2,0.2
Patrick Leonard,OF,8,6,3,1,0,1,2,1,2,1,0,0,0.5,0.625,1.1666666666666667,1.7916666666666667,0.696,0.25,0.125
Christian Barboto,P,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Hios,P,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tristian Pearl,P,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Fischetti,OF,3,2,2,2,0,0,0,0,0,1,0,2,1.0,1.0,2.0,3.0,1.0713333333333335,0.0,0.0
Aidan O'Loughin,OF,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,0.69,0.0,1.0
